Symbol,Date,Close,Volume
1AL,20151203,1.005,61500
1PG,20151203,3,900166
1ST,20151203,0.1,38359
3DM,20151203,0.068,323900
3PL,20151203,2.12,831979
88E,20151203,0.012,31488730
8EC,20151203,1.02,1501
8IH,20151203,1.01,46670
A2M,20151203,1.055,4058352
AAA,20151203,50.09,38737
AAC,20151203,1.475,717638
AAD,20151203,2.38,2283561
AAJ,20151203,0.006,1033333
AAR,20151203,0.006,125993
AAU,20151203,0.028,145000
AAX,20151203,0.28,20411
AB1,20151203,0.175,364789
ABA,20151203,5.35,2810
ABC,20151203,4.39,1631800
ABP,20151203,2.95,821265
ABU,20151203,0.077,337776
ABV,20151203,0.007,1827410
ABW,20151203,0.96,62739
ABX,20151203,0.22,93569
ACB,20151203,0.019,3000
ACG,20151203,0.19,175000
ACL,20151203,0.093,324473
ACQ,20151203,0.81,10000
ACR,20151203,0.675,197247
ACU,20151203,0.13,1247314
ACW,20151203,0.048,1200000
ACX,20151203,4.86,123162
ADA,20151203,1.9,87069
ADH,20151203,2.74,292877
ADJ,20151203,0.086,1567681
ADN,20151203,0.01,1929966
ADO,20151203,0.078,555218
ADR,20151203,0.645,6264
ADV,20151203,0.013,1947616
ADY,20151203,0.018,24071
AEB,20151203,0.043,207800
AEE,20151203,0.015,170000
AEF,20151203,62,480
AEI,20151203,0.46,12945
AEV,20151203,0.115,118419
AFG,20151203,1.05,58216
AFI,20151203,5.75,239383
AFR,20151203,0.053,100000
AGF,20151203,1.29,141528
AGI,20151203,2.4,485005
AGL,20151203,17.02,2030123
AGO,20151203,0.019,2674748
AGR,20151203,0.145,48610
AGS,20151203,0.029,68667
AGX,20151203,0.013,185146
AGY,20151203,0.002,600
AHA,20151203,0.004,2500000
AHD,20151203,15.17,103363
AHF,20151203,0.145,27100
AHG,20151203,4.28,680575
AHL,20151203,0.625,1726373
AHQ,20151203,0.002,19500000
AHY,20151203,1.68,14675394
AHZ,20151203,0.735,100845
AIA,20151203,4.74,175582
AIB,20151203,0.85,8500
AIO,20151203,8.71,1444650
AIZ,20151203,2.51,3584
AJA,20151203,5.14,9055
AJC,20151203,0.003,2403195
AJD,20151203,1.29,35600
AJL,20151203,0.255,4
AJM,20151203,0.051,3531253
AJQ,20151203,0.13,136703
AJR,20151203,0.001,2500000
AJX,20151203,0.83,1000152
AKF,20151203,0.07,100000
AKG,20151203,0.31,10000
AKK,20151203,0.016,1130451
